iter	Passed	Remaining
950	3470	178
951	3473	175
952	3476	171
953	3479	167
954	3481	164
955	3484	160
956	3487	156
957	3490	153
958	3492	149
959	3495	145
960	3498	141
961	3501	138
962	3504	134
963	3507	130
964	3510	127
965	3513	123
966	3516	120
967	3519	116
968	3521	112
969	3524	109
970	3527	105
971	3530	101
972	3533	98
973	3535	94
974	3538	90
975	3541	87
976	3544	83
977	3547	79
978	3549	76
979	3552	72
980	3555	68
981	3558	65
982	3561	61
983	3563	57
984	3566	54
985	3569	50
986	3572	47
987	3575	43
988	3578	39
989	3581	36
990	3584	32
991	3587	28
992	3590	25
993	3593	21
994	3596	18
995	3598	14
996	3601	10
997	3604	7
998	3609	3
999	3612	0
